theta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  1.44     -0.0023349      0.0003561      0.0001511      0.0212988      0.0001506
  1.48     -0.0018389      0.0001750      0.0001511      0.0211932      0.0001505
  1.51     -0.0024665     -0.0010967      0.0001518      0.0215479      0.0001517
  1.54     -0.0022712     -0.0015598      0.0001522      0.0220523      0.0001504
  1.57     -0.0029773     -0.0029578      0.0001517      0.0220410      0.0001511
  1.60     -0.0021808     -0.0028536      0.0001524      0.0219971      0.0001513
  1.63     -0.0027737     -0.0040910      0.0001506      0.0211506      0.0001501
  1.66     -0.0023184     -0.0043778      0.0001512      0.0218854      0.0001513
  1.70     -0.0020882     -0.0048700      0.0001515      0.0220478      0.0001521
  1.73     -0.0024089     -0.0058080      0.0001505      0.0213967      0.0001507
  1.76     -0.0021240     -0.0061965      0.0001509      0.0212520      0.0001502
  1.79     -0.0023014     -0.0071205      0.0001516      0.0213964      0.0001500
  1.82     -0.0017241     -0.0073148      0.0001519      0.0216378      0.0001501
  1.85     -0.0017995     -0.0083167      0.0001519      0.0222514      0.0001518
  1.88     -0.0020861     -0.0091698      0.0001522      0.0215378      0.0001518
  1.92     -0.0021663     -0.0099123      0.0001510      0.0211980      0.0001507
  1.95     -0.0015374     -0.0097861      0.0001518      0.0205952      0.0001516
  1.98     -0.0017290     -0.0107149      0.0001508      0.0204584      0.0001518
  2.01     -0.0006520     -0.0102743      0.0001515      0.0203500      0.0001513
  2.04     -0.0017337     -0.0118344      0.0001512      0.0194519      0.0001513
  2.07     -0.0012538     -0.0124195      0.0001513      0.0200316      0.0001507
  2.10     -0.0014210     -0.0135351      0.0001516      0.0201372      0.0001511
  2.14     -0.0009725     -0.0134561      0.0001518      0.0194274      0.0001513
  2.17     -0.0006101     -0.0138725      0.0001516      0.0193648      0.0001519
  2.20     -0.0008115     -0.0143975      0.0001522      0.0184711      0.0001523
  2.23     -0.0012148     -0.0157700      0.0001518      0.0183834      0.0001514
  2.26     -0.0000480     -0.0152133      0.0001519      0.0183475      0.0001526
  2.29      0.0000548     -0.0160001      0.0001523      0.0182639      0.0001503
  2.32     -0.0004239     -0.0165536      0.0001523      0.0170392      0.0001512
  2.36     -0.0002218     -0.0170576      0.0001524      0.0167739      0.0001512
  2.39     -0.0003712     -0.0177060      0.0001512      0.0161469      0.0001511
  2.42      0.0007032     -0.0174959      0.0001525      0.0163903      0.0001515
  2.45      0.0006895     -0.0176713      0.0001511      0.0155408      0.0001519
  2.48      0.0008524     -0.0181647      0.0001519      0.0151953      0.0001511
  2.51      0.0015466     -0.0181584      0.0001511      0.0151303      0.0001513
  2.54      0.0005270     -0.0192350      0.0001513      0.0137345      0.0001509
  2.58      0.0005356     -0.0193595      0.0001513      0.0129446      0.0001522
  2.61      0.0012372     -0.0199094      0.0001527      0.0132362      0.0001503
  2.64      0.0007808     -0.0204163      0.0001520      0.0121390      0.0001513
  2.67      0.0014466     -0.0205987      0.0001519      0.0121429      0.0001509
  2.70      0.0007982     -0.0207210      0.0001511      0.0106555      0.0001519
  2.73      0.0018243     -0.0206176      0.0001517      0.0109322      0.0001518
  2.76      0.0016818     -0.0212770      0.0001526      0.0102554      0.0001509
  2.80      0.0015589     -0.0210346      0.0001520      0.0092513      0.0001515
  2.83      0.0019774     -0.0208409      0.0001516      0.0088718      0.0001510
  2.86      0.0026710     -0.0204140      0.0001516      0.0087326      0.0001511
  2.89      0.0017323     -0.0210797      0.0001521      0.0072212      0.0001520
  2.92      0.0025045     -0.0216182      0.0001522      0.0074191      0.0001499
  2.95      0.0026005     -0.0216890      0.0001516      0.0068051      0.0001505
  2.98      0.0029282     -0.0219176      0.0001512      0.0064564      0.0001515
  3.02      0.0022581     -0.0218629      0.0001519      0.0050579      0.0001509
  3.05      0.0023043     -0.0218459      0.0001518      0.0043993      0.0001518
  3.08      0.0021866     -0.0216824      0.0001520      0.0035744      0.0001509
  3.11      0.0021129     -0.0214777      0.0001522      0.0028080      0.0001523
  3.14      0.0023434     -0.0214362      0.0001521      0.0023623      0.0001511
-----------------
hx =50 cos theta, hy = 50 sin theta, hz = 0, beta cooling each time 
K=-600, G=300, beta =1/1000
