theta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  2.07     -0.0016866     -0.0128117      0.0001512      0.0198034      0.0001510
  2.10     -0.0007701     -0.0127622      0.0001518      0.0200668      0.0001518
  2.14     -0.0006425     -0.0133030      0.0001526      0.0197631      0.0001514
  2.17     -0.0012037     -0.0144799      0.0001521      0.0191651      0.0001517
  2.20     -0.0003787     -0.0141038      0.0001511      0.0187680      0.0001519
  2.23     -0.0008272     -0.0154605      0.0001515      0.0185819      0.0001508
  2.26     -0.0001638     -0.0152876      0.0001519      0.0182226      0.0001511
  2.29     -0.0006391     -0.0165702      0.0001524      0.0178287      0.0001502
  2.32      0.0006901     -0.0158329      0.0001511      0.0178685      0.0001512
  2.36      0.0004487     -0.0166733      0.0001521      0.0173079      0.0001514
  2.39     -0.0000916     -0.0173967      0.0001514      0.0162109      0.0001510
  2.42      0.0007549     -0.0171052      0.0001525      0.0160867      0.0001507
  2.45      0.0000287     -0.0180207      0.0001513      0.0149452      0.0001520
  2.48      0.0004105     -0.0186695      0.0001518      0.0150010      0.0001517
  2.51      0.0008223     -0.0189938      0.0001526      0.0148163      0.0001503
  2.54      0.0008436     -0.0201670      0.0001511      0.0147254      0.0001515
  2.58      0.0004699     -0.0198853      0.0001519      0.0131761      0.0001514
  2.61      0.0011004     -0.0195759      0.0001523      0.0128556      0.0001515
  2.64      0.0013307     -0.0203367      0.0001519      0.0126987      0.0001509
  2.67      0.0007701     -0.0211472      0.0001513      0.0116393      0.0001512
  2.70      0.0007969     -0.0207295      0.0001510      0.0106353      0.0001519
  2.73      0.0010867     -0.0208625      0.0001515      0.0102120      0.0001521
  2.76      0.0019045     -0.0208985      0.0001518      0.0103226      0.0001518
  2.80      0.0016579     -0.0214957      0.0001515      0.0095010      0.0001515
  2.83      0.0018701     -0.0216362      0.0001526      0.0089964      0.0001509
  2.86      0.0019047     -0.0218379      0.0001514      0.0083279      0.0001507
  2.89      0.0018605     -0.0213946      0.0001520      0.0074140      0.0001514
  2.92      0.0023649     -0.0219208      0.0001511      0.0073231      0.0001511
  2.95      0.0021992     -0.0211646      0.0001515      0.0062762      0.0001508
  2.98      0.0022079     -0.0219257      0.0001514      0.0057081      0.0001499
  3.02      0.0028660     -0.0207581      0.0001516      0.0055111      0.0001511
  3.05      0.0023304     -0.0219835      0.0001521      0.0044188      0.0001510
  3.08      0.0019774     -0.0213267      0.0001519      0.0033230      0.0001519
  3.11      0.0028256     -0.0219508      0.0001512      0.0035168      0.0001509
  3.14      0.0025192     -0.0215775      0.0001522      0.0025192      0.0001498
----------------------------------------------------------------------------------------
------------------------------------------------------------------------------
hx =50 cos theta, hy = 50 sin theta, hz = 0, beta cooling once 
K=-600, G=300, beta=0.001
