theta 	 taux 	 tauy 	  tauz  	 tau_perp 	  mx error	 my error 	 mz error
  0.72  -0.0062794  -0.0004942   0.0001516  -0.0045663   0.0001295   0.0001293   0.0001296
  0.75  -0.0063419  -0.0004426   0.0000556  -0.0045415   0.0001290   0.0001293   0.0001292
  0.79  -0.0064797  -0.0002956  -0.0000063  -0.0045147   0.0001292   0.0001292   0.0001302
  0.82  -0.0064264  -0.0002378   0.0000285  -0.0044523   0.0001291   0.0001297   0.0001290
  0.85  -0.0067454  -0.0000862  -0.0000877  -0.0045251   0.0001294   0.0001294   0.0001295
  0.88  -0.0066911   0.0000232  -0.0000892  -0.0044155   0.0001293   0.0001292   0.0001291
  0.91  -0.0068026   0.0000209   0.0001383  -0.0045672   0.0001290   0.0001287   0.0001289
  0.94  -0.0067248   0.0001725   0.0000555  -0.0043867   0.0001291   0.0001294   0.0001292
  0.97  -0.0065934   0.0003052   0.0000339  -0.0042035   0.0001288   0.0001301   0.0001293
  1.01  -0.0069246   0.0004216   0.0000952  -0.0043670   0.0001297   0.0001292   0.0001294
  1.04  -0.0066573   0.0004453   0.0002844  -0.0042361   0.0001292   0.0001296   0.0001294
  1.07  -0.0065949   0.0007091   0.0000706  -0.0039474   0.0001293   0.0001297   0.0001297
  1.10  -0.0064076   0.0009207  -0.0001421  -0.0036106   0.0001289   0.0001299   0.0001293
  1.13  -0.0060562   0.0009102  -0.0000622  -0.0034099   0.0001296   0.0001301   0.0001297
  1.16  -0.0061541   0.0008489   0.0003258  -0.0036454   0.0001292   0.0001291   0.0001295
  1.19  -0.0059954   0.0014222  -0.0001915  -0.0029850   0.0001291   0.0001295   0.0001294
  1.23  -0.0057659   0.0013432   0.0000337  -0.0029597   0.0001288   0.0001293   0.0001293
  1.26  -0.0054181   0.0014277   0.0000772  -0.0026860   0.0001297   0.0001295   0.0001289
  1.29  -0.0051278   0.0013881   0.0001311  -0.0025368   0.0001290   0.0001293   0.0001291
  1.32  -0.0051076   0.0019960  -0.0002354  -0.0019959   0.0001295   0.0001299   0.0001293
  1.35  -0.0047875   0.0017216   0.0001877  -0.0021065   0.0001294   0.0001291   0.0001292
  1.38  -0.0044578   0.0021488  -0.0001405  -0.0014925   0.0001295   0.0001297   0.0001292
  1.41  -0.0042343   0.0022747  -0.0001204  -0.0012662   0.0001296   0.0001288   0.0001293
  1.45  -0.0040141   0.0023856  -0.0000740  -0.0010609   0.0001292   0.0001289   0.0001292
  1.48  -0.0039892   0.0024020   0.0002818  -0.0011521   0.0001292   0.0001290   0.0001291
  1.51  -0.0032998   0.0023423   0.0000887  -0.0006679   0.0001295   0.0001291   0.0001292
  1.54  -0.0031193   0.0027821  -0.0000917  -0.0001942   0.0001295   0.0001298   0.0001301
  1.57  -0.0029120   0.0026493   0.0002627  -0.0002627   0.0001296   0.0001293   0.0001293
  1.60  -0.0029808   0.0030224   0.0003954  -0.0001040   0.0001297   0.0001293   0.0001291
  1.63  -0.0023108   0.0030592   0.0001157   0.0004604   0.0001285   0.0001290   0.0001296
  1.67  -0.0019780   0.0032091   0.0000340   0.0008094   0.0001292   0.0001289   0.0001292
  1.70  -0.0014055   0.0032742  -0.0001830   0.0013068   0.0001296   0.0001292   0.0001294
  1.73  -0.0012202   0.0034800  -0.0001337   0.0015511   0.0001287   0.0001295   0.0001293
  1.76  -0.0006315   0.0030456   0.0000489   0.0015931   0.0001290   0.0001296   0.0001293
  1.79  -0.0002307   0.0030515   0.0001042   0.0018458   0.0001287   0.0001291   0.0001290
  1.82  -0.0003163   0.0036560  -0.0000116   0.0022304   0.0001296   0.0001301   0.0001292
  1.85   0.0004271   0.0032673  -0.0000964   0.0024951   0.0001292   0.0001294   0.0001291
  1.88   0.0004807   0.0035048   0.0000375   0.0026445   0.0001295   0.0001292   0.0001295
  1.92   0.0008618   0.0034664  -0.0000475   0.0029013   0.0001292   0.0001296   0.0001293
  1.95   0.0011360   0.0035785   0.0000252   0.0031346   0.0001294   0.0001291   0.0001296
  1.98   0.0019633   0.0030664  -0.0001428   0.0034007   0.0001295   0.0001295   0.0001291
  2.01   0.0017846   0.0035683  -0.0001904   0.0036321   0.0001289   0.0001293   0.0001297
  2.04   0.0020530   0.0037523  -0.0002574   0.0039560   0.0001293   0.0001296   0.0001290
  2.07   0.0023036   0.0035685  -0.0001348   0.0039597   0.0001293   0.0001287   0.0001295
  2.10   0.0023429   0.0035506   0.0001824   0.0038682   0.0001290   0.0001292   0.0001297
  2.14   0.0023971   0.0038017   0.0001017   0.0040987   0.0001292   0.0001295   0.0001292
  2.17   0.0031077   0.0033834  -0.0002313   0.0044045   0.0001294   0.0001292   0.0001295
  2.20   0.0031568   0.0035070   0.0000485   0.0044264   0.0001288   0.0001301   0.0001296
  2.23   0.0034730   0.0032237  -0.0002399   0.0045445   0.0001292   0.0001294   0.0001285
  2.26   0.0032233   0.0033246   0.0001034   0.0043308   0.0001293   0.0001292   0.0001292
  2.29   0.0034694   0.0031199   0.0000489   0.0043766   0.0001298   0.0001289   0.0001298
  2.32   0.0038793   0.0032642  -0.0002264   0.0048378   0.0001291   0.0001295   0.0001296
  2.36   0.0035179   0.0032872   0.0001877   0.0044742   0.0001301   0.0001290   0.0001297
  2.39   0.0039111   0.0030170  -0.0001761   0.0046774   0.0001289   0.0001297   0.0001292
  2.42   0.0042234   0.0027268  -0.0001103   0.0046703   0.0001299   0.0001296   0.0001298
  2.45   0.0035829   0.0032491  -0.0000510   0.0045717   0.0001292   0.0001295   0.0001297
  2.48   0.0037616   0.0028011   0.0001315   0.0043313   0.0001301   0.0001296   0.0001294
  2.51   0.0037430   0.0026547  -0.0000415   0.0042790   0.0001291   0.0001288   0.0001292
  2.54   0.0039514   0.0024822  -0.0002261   0.0043644   0.0001289   0.0001297   0.0001290
  2.58   0.0036237   0.0025865  -0.0004245   0.0042816   0.0001297   0.0001291   0.0001293
  2.61   0.0037612   0.0022497  -0.0001507   0.0040575   0.0001293   0.0001289   0.0001291
  2.64   0.0036596   0.0020776  -0.0001286   0.0038677   0.0001290   0.0001290   0.0001291
  2.67   0.0039400   0.0015355  -0.0001886   0.0037132   0.0001292   0.0001297   0.0001300
  2.70   0.0033592   0.0020142  -0.0002169   0.0036546   0.0001290   0.0001295   0.0001297
  2.73   0.0032990   0.0017632  -0.0003611   0.0034952   0.0001293   0.0001295   0.0001296
  2.76   0.0029809   0.0016875   0.0004152   0.0029739   0.0001295   0.0001291   0.0001292
  2.80   0.0031092   0.0011809  -0.0000094   0.0028632   0.0001293   0.0001291   0.0001294
  2.83   0.0025658   0.0014077   0.0000523   0.0026316   0.0001295   0.0001289   0.0001296
  2.86   0.0025433   0.0011288   0.0000754   0.0024229   0.0001289   0.0001291   0.0001295
  2.89   0.0022219   0.0010740  -0.0000582   0.0022167   0.0001296   0.0001295   0.0001298
  2.92   0.0019296   0.0009360  -0.0001594   0.0019635   0.0001291   0.0001295   0.0001292
  2.95   0.0017890   0.0007746   0.0000429   0.0016947   0.0001295   0.0001289   0.0001291
  2.98   0.0016543   0.0004668  -0.0000033   0.0014152   0.0001292   0.0001286   0.0001293
  3.02   0.0009277   0.0007997   0.0003095   0.0010484   0.0001296   0.0001297   0.0001293
  3.05   0.0011489   0.0001348  -0.0000712   0.0008795   0.0001295   0.0001295   0.0001293
  3.08   0.0007079   0.0001579   0.0000412   0.0005635   0.0001303   0.0001295   0.0001295
  3.11   0.0002736   0.0001497   0.0000575   0.0002630   0.0001295   0.0001289   0.0001290
  3.14  -0.0000888   0.0000888   0.0003251  -0.0001084   0.0001297   0.0001285   0.0001292
----------------------------------------------------------------------------------------------
hmag =50.0000000	 beta = 0.1/100	 K =-6.0000000 	 G=3.0000000
system cooled once for theta equal to zero 
