theta 	 taux 	 tauy 	  tauz  	 tau_perp 	  mx error	 my error 	 mz error
  2.64   0.2031694   0.1536066  -0.0465092   0.2533537   0.0000122   0.0000246   0.0000285
  2.67   0.1962095   0.1435851  -0.0445083   0.2413658   0.0000149   0.0000297   0.0000324
  2.70   0.1876826   0.1342457  -0.0421032   0.2286533   0.0000159   0.0000297   0.0000336
  2.73   0.1786484   0.1242562  -0.0392044   0.2150045   0.0000167   0.0000282   0.0000285
  2.76   0.1680122   0.1148197  -0.0343493   0.2000044   0.0000142   0.0000248   0.0000361
  2.80   0.1610902   0.1011987  -0.0340999   0.1862259   0.0000155   0.0000255   0.0000338
  2.83   0.1475131   0.0933975  -0.0294968   0.1704393   0.0000153   0.0000252   0.0000289
  2.86   0.1355179   0.0831681  -0.0259404   0.1544375   0.0000182   0.0000270   0.0000275
  2.89   0.1235346   0.0725014  -0.0248904   0.1389875   0.0000191   0.0000266   0.0000286
  2.92   0.1096693   0.0630739  -0.0222881   0.1225915   0.0000187   0.0000251   0.0000300
  2.95   0.0954921   0.0534348  -0.0171822   0.1050119   0.0000186   0.0000238   0.0000304
  2.98   0.0821629   0.0426478  -0.0159290   0.0885168   0.0000204   0.0000250   0.0000279
  3.02   0.0627621   0.0374461  -0.0085933   0.0696699   0.0000197   0.0000230   0.0000284
  3.05   0.0509960   0.0244298  -0.0107014   0.0538510   0.0000211   0.0000247   0.0000300
  3.08   0.0340885   0.0163202  -0.0062852   0.0357008   0.0000191   0.0000203   0.0000268
  3.11   0.0174807   0.0077577  -0.0021808   0.0175525   0.0000235   0.0000240   0.0000307
  3.14  -0.0009295   0.0009295   0.0007257  -0.0002419   0.0000222   0.0000224   0.0000291
hmag =50.0000000	 beta = 1.0000000	 K =-6.0000000 	 G=3.0000000
system cooled once for theta equal to zero 
